route_id,trip_id
TEAL,[@4.0.6079335@][1597347351575]/86__T2_UIMF_V1
TEAL EVENING,[@7.0.41903462@][3][1243545697437]/19__T3_NONUIMF
GREY EVENING SATURDAY,[@124.0.92319406@][1484577670364]/29__GR3_SA
SILVER LIMITED SATURDAY,[@15.0.67916770@][2][1363721613441]/5__SV1_NON_UI_SA
TEAL SATURDAY,[@4.0.6085223@][1597347822512]/60__T1UISA_V1
SILVER,[@12.0.42199629@][3][1246896440906]/3__SV4_UI_NOSCH
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/0__R5_MF_V1
RED,[@14.0.56288404@][2][1305666673266]/2__R3_MF
TEAL EVENING,[@7.0.41903462@][3][1243545711640]/28__T2_UIMF
GREEN SUNDAY,[@124.0.92334988@][1484579202830]/82__GN3_SU
RED,[@14.0.56288404@][2][1302789028390]/8__R1_MF
SILVER SATURDAY,[@12.0.44184681@][1250945403296]/84__SV1UISA
BLUE,[@4.0.5955594@][1597257189746]/36__GNX2_MF_V1
YELLOW SATURDAY,[@4.0.5874496@][1597168539048]/51__Y3SA_V1
TEAL,[@4.0.6079335@][1597347351575]/14__T1_UIMF_V1
ORANGE ALT,[@4.0.3874463@][31][1598469809451]/0__6E_HUSch_PM_MF
GOLD,[@7.0.41203042@][4][1246652832718]/14__G2_MF
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/19__GN1_SU
ILLINI LIMITED EVENING SATURDAY,[@124.0.92348983@][1484580545489]/29__I1NONUISA
GREY,[@15.0.68512430@][4][1373388704601]/0__GR1_NOSCHMF
YELLOW,[@4.0.5891782@][1597169066281]/73__Y3_NON_UI_MF_V1
GREEN,[@4.0.5960707@][1597257255963]/23__GN2_MF_V1
ILLINI EVENING,[@4.0.6329571@][1597517389214]/70__I2_UIMF_V1
RED,[@14.0.56288404@][41][1316446361177]/2__GN8_SCH
YELLOW SATURDAY,[@4.0.5874496@][1597168539048]/29__Y3SA_V1
SILVER LATE NIGHT,[@4.0.6316806@][1597516865051]/0__SV1_UIMF_V1
SILVER,[@12.0.42199629@][3][1246896281828]/0__SV2_UIMF
YELLOW EVENING SATURDAY,[@4.0.5885438@][1597168881799]/21__Y3SA_V1
RUBY SUNDAY,[@124.0.92234822@][1484324980985]/12__RUB1_SU
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/264__T2NON_UI_SA
GOLDHOPPER,[@14.0.56289113@][4][1303767517328]/19__G4_MF
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/83__T2UISU
RED,[@4.0.5898288@][1597169152898]/27__R2_MF_V1
TEAL LATE NIGHT SUNDAY,[@124.0.92276155@][1484344792164]/29__T1UISU
BRONZE,[@14.0.51709163@][3][1277738203343]/0__BZ2_MF1
GREEN EVENING SATURDAY,[@4.0.5983687@][1597257498706]/9__GR2SA_V1
GREEN,[@4.0.5960707@][1597257255963]/88__GN1_MF_V1
YELLOW EVENING,[@4.0.5867728@][1597168420258]/22__Y3_NON_UI_MF_V1
GREEN EXPRESS,[@15.0.70780071@][31][1395669107145]/0__GNX1_NOSCHMF
SILVER SUNDAY,[@4.0.6324432@][1597517220831]/25__SV2UISU_V1
RUBY SATURDAY,[@15.0.64657075@][1339528341508]/1__RUB1_SA
1N YELLOW ALT PM,[@36.0.28512174@][4][1175210966910]/7__N3_SCHMF_add_UHS_trip?
GREY,[@2.0.80545657@][31][1425487452154]/20__GR3_NON_UI_MF_V1
YELLOWHOPPER,[@15.0.63189099@][1][1334168041183]/33__Y7_UIMF
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/73__Y2_MF_V1
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/67__SV1_NONUISU
YELLOW SUNDAY,[@4.0.5882677@][1597168773965]/29__Y1SU_V1
ILLINI LIMITED SUNDAY,[@4.0.6335302@][1597517634875]/35__I1_NON_UI_SU_V1
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/81__SV1_NONUISU
BRONZE,[@7.0.41201636@][4][1243606179171]/0__T1_UIMF_V1
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/31__T2_NONUI_SU_V1
YELLOW SATURDAY,[@4.0.5874496@][1597168539048]/39__Y4SA_V1
GREY EVENING,[@2.0.85634856@][31][1465240777577]/0__GR3_UIMF_V1
BROWN,[@6.0.626596@][1601838465133]/5__BA2_NOSCHMF_V1
GREEN SATURDAY,[@7.0.41202550@][4][1248702341796]/1__GR4SA
TEAL,[@7.0.41893871@][4][1243540851671]/32__T3_NONUIMF
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/6__T1UISU_V1
GREY EVENING SATURDAY,[@124.0.143440025@][31][1591369188136]/2__GR5SA
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/138__T2UISA
ILLINI LIMITED SATURDAY,[@4.0.6334500@][1597517567085]/13__I1UISA_V1
TEAL EVENING SATURDAY,[@4.0.6089173@][1597348089342]/14__T1UISA_V1
RED,[@14.0.56288404@][1][1302710871468]/7__R1_MF
SILVER SUNDAY,[@4.0.6324432@][1597517220831]/33__SV1UISU_V1
ILLINI,[@7.0.41200832@][1][1238430123625]/52__I8_UIMF
GOLD,[@14.0.51616748@][3][1277756663140]/0__G5_MF
SILVER,[@4.0.6090318@][1597351255773]/52__SV5_UIMF_V1
ILLINI EVENING SUNDAY,[@4.0.6338167@][1597517767548]/100__I1UI_SU_V1
LAVENDER SUNDAY,[@15.0.71205318@][1381241976567]/9__L1SU
GREEN SATURDAY,GN1SAT014__GN2_NON_UI_SA
ILLINI EVENING SATURDAY,[@4.0.6336113@][1597517693196]/94__I6UISA_V1
SILVER SUNDAY,[@124.0.92281033@][1484346076492]/14__SV2UISU
GREEN,[@4.0.5960707@][1597257255963]/14__GN5_MF_V1
LIME SUNDAY,[@124.0.94415718@][12][1496267134824]/24__LM2SU
TEAL,[@4.0.6079335@][1597347351575]/98__T3_UIMF_V1
GREEN LATE NIGHT SUNDAY,[@124.0.92345918@][1484579847669]/63__GR3_UISU
YELLOWHOPPER,[@15.0.63189099@][2][1334168554912]/44__Y2_MF
ILLINI,[@4.0.6310080@][1597516121254]/53__I8_UIMF_V1
ORANGEHOPPER,[@14.0.52435578@][3][1275675740468]/33__O1_MF
BROWN ALT,[@15.0.60390798@][20][1328805117700]/0__CENTRAL_EXP_SCH
GREEN SATURDAY,[@7.0.41202550@][4][1248702341796]/2__GR1SA
SILVER LIMITED EVENING,[@4.0.6322539@][1597517126188]/25__SV2_NONUIMF_V1
ILLINI LIMITED SATURDAY,[@4.0.6334500@][1597517567085]/36__I1UISA_V1
TEAL,[@124.0.111414163@][32][1526581741723]/1__T2_UIMF
BROWN,[@15.0.61662606@][20][1329164548772]/33__R2_MF
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/154__T2NON_UI_SA
ORANGE ALT,[@15.0.69155236@][4][1368640131908]/7__GN8_SHOW_SCH
YELLOW EVENING SATURDAY,[@4.0.5885438@][1597168881799]/10__Y3SA_V1
YELLOW,[@4.0.5891782@][1597169066281]/34__Y3_NON_UI_MF_V1
YELLOW LATE NIGHT SUNDAY,[@124.0.92330667@][1484578259855]/43__Y2UISU
TEAL,[@4.0.6079335@][1597347351575]/18__T2_UIMF_V1
GREEN LATE NIGHT SUNDAY,[@124.0.92345918@][1484579847669]/46__GR3_UISU
SILVER,[@12.0.42199629@][3][1246896590515]/33__SV1_UIMF
LAVENDER SUNDAY,[@15.0.71205318@][1381241976567]/36__L1SU
SILVER LIMITED SUNDAY,[@4.0.6323452@][1597517174427]/47__SV1_NONUISU_V1
RED,[@14.0.56288404@][1][1302710320617]/5__R5_MF
SILVER EVENING SATURDAY,[@124.0.92284627@][1484347218447]/109__SV1UISA
SILVER EVENING SUNDAY,[@124.0.92286725@][1484347296458]/160__SV2UISU
TEAL LATE NIGHT SUNDAY,[@4.0.6088263@][1597348010901]/0__T2UISU_V1
ILLINI EVENING SUNDAY,[@4.0.6338167@][1597517767548]/70__I3UISU_V1
ILLINI LIMITED SUNDAY,[@4.0.6335302@][1597517634875]/16__I1UI_SU_V1
YELLOW,[@15.0.63189004@][2][1340828987634]/13__Y1UIMF
GREY SATURDAY,[@15.0.73008535@][32][1401899327184]/44__GN3UISA
SILVER EVENING SATURDAY,[@124.0.92284627@][1484347218447]/1__SV2UISA
ILLINI EVENING SATURDAY,[@4.0.6336113@][1597517693196]/90__I6UISA_V1
YELLOW,[@4.0.5891782@][1597169066281]/75__Y3UIMF_V1
SILVER SATURDAY,[@12.0.44184681@][1250945403296]/279__SV2UISA
GREEN EXPRESS,[@4.0.6008825@][1597258042989]/20__Y4_MF_V1
SILVER SATURDAY,[@12.0.44184681@][1250945403296]/274__SV1UISA
LAVENDER SATURDAY,[@15.0.63188981@][1][1334072474102]/0__L2SA
5W GREEN ALT 2,[@36.0.28512376@][3][1175211427003]/21__ORANGE_/_GREEN_SCH
GREEN EVENING SATURDAY,[@124.0.92311676@][1484576395235]/6__GN3NONUISA
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/32__GR3_NON_UI_SU_V1
TEAL,[@4.0.6079335@][1597347351575]/13__T1_NONUIMF_V1
