service_id,date,exception_type
ORANGE / GREEN SCH,20201201,1
ORANGE / GREEN SCH,20201203,1
ORANGE / GREEN SCH,20201204,1
ORANGE / GREEN SCH,20201207,1
ORANGE / GREEN SCH,20201208,1
ORANGE / GREEN SCH,20201210,1
ORANGE / GREEN SCH,20201211,1
ORANGE / GREEN SCH,20201214,1
ORANGE / GREEN SCH,20201215,1
ORANGE / GREEN SCH,20201217,1
ORANGE / GREEN SCH,20201218,1
R6 UIMF V1,20200821,1
R6 UIMF V1,20200824,1
R6 UIMF V1,20200825,1
R6 UIMF V1,20200826,1
R6 UIMF V1,20200827,1
R6 UIMF V1,20200828,1
R6 UIMF V1,20200831,1
R6 UIMF V1,20200901,1
R6 UIMF V1,20200902,1
R6 UIMF V1,20200903,1
R6 UIMF V1,20200904,1
R6 UIMF V1,20200908,1
R6 UIMF V1,20200909,1
R6 UIMF V1,20200910,1
R6 UIMF V1,20200911,1
R6 UIMF V1,20200914,1
R6 UIMF V1,20200915,1
R6 UIMF V1,20200916,1
R6 UIMF V1,20200917,1
R6 UIMF V1,20200918,1
R6 UIMF V1,20200921,1
R6 UIMF V1,20200922,1
R6 UIMF V1,20200923,1
R6 UIMF V1,20200924,1
R6 UIMF V1,20200925,1
R6 UIMF V1,20200928,1
R6 UIMF V1,20200929,1
R6 UIMF V1,20200930,1
R6 UIMF V1,20201001,1
R6 UIMF V1,20201002,1
R6 UIMF V1,20201005,1
R6 UIMF V1,20201006,1
R6 UIMF V1,20201007,1
R6 UIMF V1,20201008,1
R6 UIMF V1,20201009,1
R6 UIMF V1,20201012,1
R6 UIMF V1,20201013,1
R6 UIMF V1,20201014,1
R6 UIMF V1,20201015,1
R6 UIMF V1,20201016,1
R6 UIMF V1,20201019,1
R6 UIMF V1,20201020,1
R6 UIMF V1,20201021,1
R6 UIMF V1,20201022,1
R6 UIMF V1,20201023,1
R6 UIMF V1,20201026,1
R6 UIMF V1,20201027,1
R6 UIMF V1,20201028,1
R6 UIMF V1,20201029,1
R6 UIMF V1,20201030,1
R6 UIMF V1,20201102,1
R6 UIMF V1,20201103,1
R6 UIMF V1,20201104,1
R6 UIMF V1,20201105,1
R6 UIMF V1,20201106,1
R6 UIMF V1,20201109,1
R6 UIMF V1,20201110,1
R6 UIMF V1,20201111,1
R6 UIMF V1,20201112,1
R6 UIMF V1,20201113,1
Y5 NONUI SU V1,20200816,1
B2 MF V1,20200817,1
B2 MF V1,20200818,1
B2 MF V1,20200819,1
B2 MF V1,20200820,1
B2 MF V1,20200821,1
B2 MF V1,20200824,1
B2 MF V1,20200825,1
B2 MF V1,20200826,1
B2 MF V1,20200827,1
B2 MF V1,20200828,1
