service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SRE1 SHOW,0,0,0,0,0,0,0,20200816,20201219
Y1SU V1,0,0,0,0,0,0,0,20200816,20201219
Y1SU,0,0,0,0,0,0,0,20200816,20201219
SV2UISU V1,0,0,0,0,0,0,0,20200816,20201219
I6UISU V1,0,0,0,0,0,0,0,20200816,20201219
Y4 MF,0,0,0,0,0,0,0,20200816,20201219
SV5 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
R2 MF,0,0,0,0,0,0,0,20200816,20201219
GR1 NOSCHMF,0,0,0,0,0,0,0,20200816,20201219
3N / 5E SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
16B#2 SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
T2UISU V1,0,0,0,0,0,0,0,20200816,20201219
T2 UIMF,0,0,0,0,0,0,0,20200816,20201219
GN2UISA,0,0,0,0,0,0,0,20200816,20201219
Y7 NON UI MF,0,0,0,0,0,0,0,20200816,20201219
Y6 NOSCHMF V1,0,0,0,0,0,0,0,20200816,20201219
GN2 MF,0,0,0,0,0,0,0,20200816,20201219
R5 MF,0,0,0,0,0,0,0,20200816,20201219
3N / 7E SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
GN3NONUISA,0,0,0,0,0,0,0,20200816,20201219
GNX3 MF V1,0,0,0,0,0,0,0,20200816,20201219
GNX5 MF,0,0,0,0,0,0,0,20200816,20201219
Y5UISA,0,0,0,0,0,0,0,20200816,20201219
GR4 MF,0,0,0,0,0,0,0,20200816,20201219
T1 NONUIMF,0,0,0,0,0,0,0,20200816,20201219
O1 MF,0,0,0,0,0,0,0,20200816,20201219
Y2 NONUI SU V1,0,0,0,0,0,0,0,20200816,20201219
Y4SA V1,0,0,0,0,0,0,0,20200816,20201219
Y7 NON UI MF V1,0,0,0,0,0,0,0,20200816,20201219
GR3 SA,0,0,0,0,0,0,0,20200816,20201219
R3 MF,0,0,0,0,0,0,0,20200816,20201219
9A/5E SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
GR4SA V1,0,0,0,0,0,0,0,20200816,20201219
GNX2 MF,0,0,0,0,0,0,0,20200816,20201219
BA1 MF,0,0,0,0,0,0,0,20200816,20201219
I8 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
I3UISA V1,0,0,0,0,0,0,0,20200816,20201219
Y4SU,0,0,0,0,0,0,0,20200816,20201219
SV4 NONUIMF NOSCH,0,0,0,0,0,0,0,20200816,20201219
Y2UISA V1,0,0,0,0,0,0,0,20200816,20201219
GN1SA V1,0,0,0,0,0,0,0,20200816,20201219
GNX1 SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
RV1 MF,0,0,0,0,0,0,0,20200816,20201219
Y3 NON UI MF V1,0,0,0,0,0,0,0,20200816,20201219
BA2 NOSCHMF V1,0,0,0,0,0,0,0,20200816,20201219
GR3 SA V1,0,0,0,0,0,0,0,20200816,20201219
GR1 SU V1,0,0,0,0,0,0,0,20200816,20201219
I3UISA,0,0,0,0,0,0,0,20200816,20201219
GN2SU,0,0,0,0,0,0,0,20200816,20201219
O2 MF,0,0,0,0,0,0,0,20200816,20201219
B3 NOSCH,0,0,0,0,0,0,0,20200816,20201219
Y7 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
SV2 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
GNX2 MF V1,0,0,0,0,0,0,0,20200816,20201219
SV3 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
GN4SA V1,0,0,0,0,0,0,0,20200816,20201219
T1 UIMF,0,0,0,0,0,0,0,20200816,20201219
Y5UISU V1,0,0,0,0,0,0,0,20200816,20201219
RUB1 SA,0,0,0,0,0,0,0,20200816,20201219
G3 MF,0,0,0,0,0,0,0,20200816,20201219
SV4 NONUIMF NOSCH V1,0,0,0,0,0,0,0,20200816,20201219
B2 MF,0,0,0,0,0,0,0,20200816,20201219
GN4 SU V1,0,0,0,0,0,0,0,20200816,20201219
GR3 NON UI MF V1,0,0,0,0,0,0,0,20200816,20201219
GR4 SU,0,0,0,0,0,0,0,20200816,20201219
Y2 NONUI SU,0,0,0,0,0,0,0,20200816,20201219
ORANGE / GREEN SCH,0,0,0,0,0,0,0,20200816,20201219
N2 MF,0,0,0,0,0,0,0,20200816,20201219
GN4SA,0,0,0,0,0,0,0,20200816,20201219
GN3 SU V1,0,0,0,0,0,0,0,20200816,20201219
GR2SA V1,0,0,0,0,0,0,0,20200816,20201219
CENTRAL EXP SCH,0,0,0,0,0,0,0,20200816,20201219
GNX5 MF V1,0,0,0,0,0,0,0,20200816,20201219
GR3 NON UI MF,0,0,0,0,0,0,0,20200816,20201219
I5 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
T1NON UI SA,0,0,0,0,0,0,0,20200816,20201219
Y3SA,0,0,0,0,0,0,0,20200816,20201219
R4 MF,0,0,0,0,0,0,0,20200816,20201219
GN2UISA V1,0,0,0,0,0,0,0,20200816,20201219
B4 NOSCH V1,0,0,0,0,0,0,0,20200816,20201219
SV3 UIMF,0,0,0,0,0,0,0,20200816,20201219
I1UI SU,0,0,0,0,0,0,0,20200816,20201219
I8 UIMF,0,0,0,0,0,0,0,20200816,20201219
1S SHOW #2 SCH,0,0,0,0,0,0,0,20200816,20201219
I6UISU,0,0,0,0,0,0,0,20200816,20201219
Y2UISA,0,0,0,0,0,0,0,20200816,20201219
R2SA,0,0,0,0,0,0,0,20200816,20201219
LM1 MF,0,0,0,0,0,0,0,20200816,20201219
I8/4S No SCH No UI V1,0,0,0,0,0,0,0,20200816,20201219
I4 UIMF1,0,0,0,0,0,0,0,20200816,20201219
RUB1 SU,0,0,0,0,0,0,0,20200816,20201219
B3 NOSCH V1,0,0,0,0,0,0,0,20200816,20201219
GN1 MF,0,0,0,0,0,0,0,20200816,20201219
G6 MF,0,0,0,0,0,0,0,20200816,20201219
BB4 SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
I1UISA,0,0,0,0,0,0,0,20200816,20201219
T4 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
10W UHS UMS SCH,0,0,0,0,0,0,0,20200816,20201219
R1SA V1,0,0,0,0,0,0,0,20200816,20201219
GN1SA,0,0,0,0,0,0,0,20200816,20201219
1N SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
SV1UISA,0,0,0,0,0,0,0,20200816,20201219
N3 SCHMF add UHS trip?,0,0,0,0,0,0,0,20200816,20201219
SV5 UIMF,0,0,0,0,0,0,0,20200816,20201219
BB1 MF V1,0,0,0,0,0,0,0,20200816,20201219
R3SA,0,0,0,0,0,0,0,20200816,20201219
T1 NONUI SU V1,0,0,0,0,0,0,0,20200816,20201219
T3 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
GN5SA,0,0,0,0,0,0,0,20200816,20201219
LM1SU,0,0,0,0,0,0,0,20200816,20201219
T1UISA V1,0,0,0,0,0,0,0,20200816,20201219
16A#1 SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
5E HUSch PM MF,0,0,0,0,0,0,0,20200816,20201219
GN7 MF V1,0,0,0,0,0,0,0,20200816,20201219
GNX1 NOSCHMF V1,0,0,0,0,0,0,0,20200816,20201219
R2 MF V1,0,0,0,0,0,0,0,20200816,20201219
GREY SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
R6 UIMF,0,0,0,0,0,0,0,20200816,20201219
GNX4 MF,0,0,0,0,0,0,0,20200816,20201219
SV1 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
Y2UISU V1,0,0,0,0,0,0,0,20200816,20201219
BB2 MF,0,0,0,0,0,0,0,20200816,20201219
16B#3 SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
P1 MF,0,0,0,0,0,0,0,20200816,20201219
Y2UISU,0,0,0,0,0,0,0,20200816,20201219
GN6 NOSCH V1,0,0,0,0,0,0,0,20200816,20201219
GN8 MF,0,0,0,0,0,0,0,20200816,20201219
